surveyname,varName,DataType,Major categories,pct of the rest,Total,,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Lao 2017 Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Ethnicity,Code,,,Total,,1,2,3,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Ethnicity,PctByCount,1+2+3,9.6,95.6564659427443,,55.916563,24.576162,9.910297,4.249109,1.004335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Ethnicity,Name,,,Total,,Lao-Tai,Mon-Khmer,Hmong-Mien,Chinese-Tibetan,"Other, DK, Missing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Ethnicity,PctByCount,,,95.6564659427443,,55.916563,24.576162,9.910297,4.249109,1.004335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Lao 2017 Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Language,Code,,,Total,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Language,PctByCount,Not used,,95.6564659427443,,91.85802,3.798446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Language,Name,,,Total,,LAO,OTHER LANGUAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Language,PctByCount,,,95.6564659427443,,91.85802,3.798446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Mongolia 2013 Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia2013,Religion,Code,,,Total,,2,1,4,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia2013,Religion,PctByCount,1 +2,11.4,100,,47.096774,41.503226,5.135484,4.625806,1.63871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia2013,Religion,Name,,,Total,,Buddhist,No religion,Other,Missing/DK,Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia2013,Religion,PctByCount,,,100,,47.096774,41.503226,5.135484,4.625806,1.63871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Mongolia 2013 Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia2013,Ethnicity,Code,,,Total,,1,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia2013,Ethnicity,PctByCount,1,23.2,100,,76.774194,15.496774,4.696774,3.032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia2013,Ethnicity,Name,,,Total,,Khalkh,Other,Missing/DK,Kazakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
