"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","dataValidation","IndicatorName","diffY"
"ARM71+NotStunting","NotStunting","ARM71","0.905846598526528","0.905846598526528","0.905846598526528","DHS",1,"ARM71","AM","71","PR","NotStunting","0.905846598526528",1,"NotStunting",0
"ARM71+NotWasting","NotWasting","ARM71","0.957609346048699","0.957609346048699","0.957609346048699","DHS",1,"ARM71","AM","71","PR","NotWasting","0.957609346048699",1,"NotWasting",0
"ARM71+Overweight","Overweight","ARM71","0.138226262226962","0.138226262226962","0.138226262226962","DHS",1,"ARM71","AM","71","PR","Overweight","0.138226262226962",1,"Overweight",0
"ARM71+PhysicalViolence","PhysicalViolence","ARM71","0.081721434779714","0.081721434779714","0.081721434779714","DHS",1,"ARM71","AM","71","IR","PhysicalViolence","0.0804281880105973",1,"PhysicalViolence",0.0012932467691167
"ARM71+SafeSanitation","SafeSanitation","ARM71","0.774550782976277","0.774550782976277","0.774550782976277","DHS",1,"ARM71","AM","71","HR","SafeSanitation","0.775003800196289",1,"SafeSanitation",0.000453017220012009
"ARM71+SafeSanitationPR","SafeSanitationPR","ARM71","0.766388326482507","0.766388326482507","0.766388326482507","DHS",1,"ARM71","AM","71","PR","SafeSanitationPR","0.766388326482507",1,"SafeSanitationPR",0
"ARM71+SecondaryEducation2035","SecondaryEducation2035","ARM71","0.923626056862155","0.923626056862155","0.923626056862155","DHS",1,"ARM71","AM","71","PR","SecondaryEducation2035","0.924099086472353",1,"SecondaryEducation2035",0.000473029610197906
"ARM71+SecondaryEducation35plus","SecondaryEducation35plus","ARM71","0.873046702621283","0.873046702621283","0.873046702621283","DHS",1,"ARM71","AM","71","PR","SecondaryEducation35plus","0.872854250803225",1,"SecondaryEducation35plus",0.000192451818058048
"ARM71+SexualPhysicalViolence","SexualPhysicalViolence","ARM71","0.082081244636647","0.082081244636647","0.082081244636647","DHS",1,"ARM71","AM","71","IR","SexualPhysicalViolence","0.0807297382975682",1,"SexualPhysicalViolence",0.0013515063390788
"ARM71+SexualViolence","SexualViolence","ARM71","0.010283123997187","0.010283123997187","0.010283123997187","DHS",1,"ARM71","AM","71","IR","SexualViolence","0.0106642542776701",1,"SexualViolence",0.000381130280483101
"ARM71+Stunting","Stunting","ARM71","0.094153401473472","0.094153401473472","0.094153401473472","DHS",1,"ARM71","AM","71","PR","Stunting","0.0941534014734718",1,"Stunting",1.94289029309402e-16
"ARM71+Wasting","Wasting","ARM71","0.042390653951302","0.042390653951302","0.042390653951302","DHS",1,"ARM71","AM","71","PR","Wasting","0.0423906539513015",1,"Wasting",4.9960036108132e-16
"ARM71+WaterOnsitePR","WaterOnsitePR","ARM71","0.971173770236938","0.971173770236938","0.971173770236938","DHS",1,"ARM71","AM","71","PR","WaterOnsitePR","0.971173770236938",1,"WaterOnsitePR",0
"BGD2019+AccessElectricity","AccessElectricity","BGD2019","0.918710747963034","0.918710747963034","0.918710747963034","MICS",1,"BGD2019","Bangladesh","2019","hh","AccessElectricity","0.918710747963034",1,"AccessElectricity",0
"BGD2019+BankCardHH","BankCardHH","BGD2019","0.347530279652424","0.347530279652424","0.347530279652424","MICS",1,"BGD2019","Bangladesh","2019","hh","BankCardHH","0.347530279652424",1,"BankCardHH",0
"BGD2019+BasicWater","BasicWater","BGD2019","0.972517630242008","0.972517630242008","0.972517630242008","MICS",1,"BGD2019","Bangladesh","2019","hh","BasicWater","0.972535993238828",1,"BasicWater",1.83629968200094e-05
"BGD2019+CleanFuel","CleanFuel","BGD2019","0.199368565688385","0.199368565688385","0.199368565688385","MICS",1,"BGD2019","Bangladesh","2019","hh","CleanFuel","0.199368565688385",1,"CleanFuel",0
